Rank,Grant ID,Grant Number,Title,Title translated,Abstract,Abstract translated,Funding Amount,Currency,Funding Amount in AUD,Start Date,Start Year,End Date,End Year,Researchers,Research Organization - original,Research Organization - standardized,GRID ID,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,Resulting publications,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,ICRP Cancer Types,ICRP CSO Categories,Units of Assessment,Sustainable Development Goals
12,grant.9142859,GA79212,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,50000,AUD,50000,21/05/2020,2020,14/06/2021,2021,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=1CD0A4F0-0770-5AF9-EDED259BD2E8E8E7,https://app.dimensions.ai/details/grant/grant.9142859,,,,,,,,
12,grant.9142889,GA72930-V1,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,49998,AUD,49998,19/03/2020,2020,3/11/2021,2021,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=7AF8458D-E265-1308-6FE07838A9B3F10F,https://app.dimensions.ai/details/grant/grant.9142889,,,,,,,,
12,grant.9142894,GA72462-V1,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,50000,AUD,50000,12/03/2020,2020,21/04/2022,2022,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=81015829-9A1C-AA42-E005C5A3897F408A,https://app.dimensions.ai/details/grant/grant.9142894,,,,,,,,
12,grant.9015331,GA72460,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,50000,AUD,50000,12/03/2020,2020,7/04/2021,2021,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=370C6422-DAD1-4BF4-92A6FC8D767A1AA0,https://app.dimensions.ai/details/grant/grant.9015331,,,,,,,,
12,grant.9015310,GA72244,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,41510,AUD,41510,5/03/2020,2020,14/11/2020,2020,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=9A13F2B2-CF65-CD69-DC0EC5E4BBAE1D40,https://app.dimensions.ai/details/grant/grant.9015310,,,,,,,,
12,grant.9015292,GA72243,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,43753,AUD,43753,5/03/2020,2020,14/04/2021,2021,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=9A13DF61-F0B1-C6E8-02E1E54E8BB81092,https://app.dimensions.ai/details/grant/grant.9015292,,,,,,,,
12,grant.9015296,GA71169,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,50000,AUD,50000,14/02/2020,2020,1/07/2020,2020,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=2F8532FD-D47D-0849-295B037010FDD01C,https://app.dimensions.ai/details/grant/grant.9015296,,,,,,,,
15,grant.8714428,N/A,Promoting Indoor Climate Change,Promoting Indoor Climate Change,,,0,,,1/02/2020,2020,1/06/2020,2020,Andrew Cruse,University of Technology Sydney,University of Technology Sydney; The Ohio State University,grid.117476.2; grid.261331.4,Sydney; Columbus,New South Wales; Ohio,Australia; United States,Council for International Exchange of Scholars,,United States,,https://www.cies.org/grantee/andrew-cruse,https://app.dimensions.ai/details/grant/grant.8714428,,,,,,,,
5,grant.8669335,N629091912141,"Detect, Explore and Neutralize NEW threats using advanced Machine Learning","Detect, Explore and Neutralize NEW threats using advanced Machine Learning","Prof. Richard Xu of the University of Technology Sydney proposes to conduct a research project titled ~Detect, Explore and Neutralize NEW threats using advanced Machine Learning~ using ONRG~s research grant funding. This project tries to develop machine learning (ML)-based methods to: (i) detect outliers that are not present in the training set (such as new military threats) through metric learning; (ii) interrogate the outliers (such as to explore the capabilities of the new threats) through reinforced learning (RL); and (iii) neutralize the threats using the Generative Adversarial Networks (GAN) approach. The proposed approaches are novel in terms of the technical difficulties and context of their application, while individual techniques that comprise the approaches are based on the types of ML techniques that are rapidly advancing. The proposal makes it apparent that Prof. Xu and his team have given considerable thoughts to the use of metric learning, RL, and GAN in the detection of outliers, and have come up with feasible ideas on how they plan to overcome the challenges associated with these techniques. If successful, this project will make a profound contribution to the basic science of the detection and identification of data outliers. There is a direct application in real-time strategy games (RTS). At the same time, if successful, the results will form the bases for DON~s ability to detect, interrogate and neutralize novel threats in operational scenarios. Prof. Xu is a very productive and well-regarded ML researcher with a large number of highly-cited papers in the relevant topics (https://scholar.google.com.au/citations?hl=en&user=ykOUWa4AAAAJ&view_op=list_works&sortby=pubdate), large and productive research team at the University of Technology Sydney, and active contribution to the ML research community (https://github.com/roboticcam). Adding Prof. Xu to the NRE network of collaborators will benefit NRE by enabling NRE to participate in the S&T innovation processes that occur deep within the Australian ML research community.","Prof. Richard Xu of the University of Technology Sydney proposes to conduct a research project titled ~Detect, Explore and Neutralize NEW threats using advanced Machine Learning~ using ONRG~s research grant funding. This project tries to develop machine learning (ML)-based methods to: (i) detect outliers that are not present in the training set (such as new military threats) through metric learning; (ii) interrogate the outliers (such as to explore the capabilities of the new threats) through reinforced learning (RL); and (iii) neutralize the threats using the Generative Adversarial Networks (GAN) approach. The proposed approaches are novel in terms of the technical difficulties and context of their application, while individual techniques that comprise the approaches are based on the types of ML techniques that are rapidly advancing. The proposal makes it apparent that Prof. Xu and his team have given considerable thoughts to the use of metric learning, RL, and GAN in the detection of outliers, and have come up with feasible ideas on how they plan to overcome the challenges associated with these techniques. If successful, this project will make a profound contribution to the basic science of the detection and identification of data outliers. There is a direct application in real-time strategy games (RTS). At the same time, if successful, the results will form the bases for DON~s ability to detect, interrogate and neutralize novel threats in operational scenarios. Prof. Xu is a very productive and well-regarded ML researcher with a large number of highly-cited papers in the relevant topics (https://scholar.google.com.au/citations?hl=en&user=ykOUWa4AAAAJ&view_op=list_works&sortby=pubdate), large and productive research team at the University of Technology Sydney, and active contribution to the ML research community (https://github.com/roboticcam). Adding Prof. Xu to the NRE network of collaborators will benefit NRE by enabling NRE to participate in the S&T innovation processes that occur deep within the Australian ML research community.",83651,USD,120588,20/01/2020,2020,31/12/2021,2021,Richard Xu,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,United States Department of the Navy,DoD,United States,,,https://app.dimensions.ai/details/grant/grant.8669335,0801 Artificial Intelligence and Image Processing; 08 Information and Computing Sciences,Behavioral and Social Science,,,,,B11 Computer Science and Informatics,
12,grant.8736854,GA69176,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,50000,AUD,50000,10/01/2020,2020,18/09/2020,2020,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=24A34202-0CBA-CB5E-9A31D7333DE734E6,https://app.dimensions.ai/details/grant/grant.8736854,,,,,,,,
2,grant.9304052,NPRP12S-0227-190166,Lithium Recovery from Reverse Osmosis Brine Using Solar-Powered Membrane Distillation-Electrochemical Capturing Hybrid System,Lithium Recovery from Reverse Osmosis Brine Using Solar-Powered Membrane Distillation-Electrochemical Capturing Hybrid System,"Seawater desalination is one of the most important means of securing water in countries that lack water resources. Middle-East countries, including Qatar, have installed many thermo-based seawater desalination plants using power and hot steam generated from gas or oil-based power plants. In recent years, Qatar has produced about more than 36 million gallons of desalinated water daily through membrane-based seawater desalination using reverse osmosis (RO) technology. However, this seawater desalination method requires additional post-treatment for brine, which is about twice the salt concentration of seawater. On the other hand, the high salinity of brine can provide a good opportunity to recover rare elements such as lithium, uranium, or strontium in seawater. Thus, RO brine will be a pivotal opportunity to be recognized as a resource repository to recover various resources while being treated to protect the ecosystem.      

This project selects lithium ion among the resource recovery materials in the RO brine due to the rapid consumption and depletion of lithium worldwide. Currently, seawater evaporation in a pond is used as one of the conventional methods for recovering lithium, where the concentrated salts by evaporation are treated with a Lime-Soda precipitation method to recover lithium while removing other co-ions (Ca, Mg, etc.) selectively with carbonate precipitates. However, this method requires vast land, can cause environmental problems, and the extraction rate of lithium is very slow. Therefore, it is an urgent task to develop an innovative technology capable of rapidly concentrating brine, thereby recovering lithium with high selectivity and high purity to meet the demand for lithium supply.

This project proposes the state-of-the-art flow-through electrochemical Li recovery (FT-EliR) process, in which Li metal oxide compounds (LiMOCs) (LiAlO2 or Li2MnO3) and carbon-based hybrid capacitive materials will be used as the Li-capturing electrode and the counter ion-capturing counter electrode, respectively. Here, the FT-EliR system will use RO brine as a resource recovery solution to recover lithium. Direct contact membrane distillation (DCMD) will be employed to rapidly further concentrate the RO brine to provide a more concentrated lithium solution to the FT-EliR system. The application of DCMD technology to further concentrate the RO brine will provide a technology platform for the recovery of very low concentrations of precious elements in seawater. The DCMD system will consist of a hydrophobic membrane and a three dimensional (3D)-printing spacer with a significant flux and a low fouling tendency to concentrate the RO brine at salinity 3-5 times higher than seawater. Herein, RO brine must be heated up to near 80oC to provide the brine as feed water for the MD process. Heating RO brine will be accomplished by a concentrated solar power (CSP) system in which the condensed high-temperature solar energy will raise the temperature of RO brine used as cooling water and at the same time generates power through an internally installed thermoelectric (TE) module. The power generated in the CSP system will be used to operate the subsequent DCMD and electrochemical lithium recovery (EliR) systems. Eventually, the sequential CSP/DCMD/FT-EliR hybrid process will recover lithium continuously from RO brine much faster than conventional methods. 

This study aims to demonstrate the successful recovery of lithium from the actual RO brine by applying the proposed hybrid process to Qatarâ  s Umm Al Houl Power and Desalination Plant at the last Work Package (WP) of the project. Following the bilateral agreement between Qatar Electricity & Water Company (QEWC) and Center for Advanced Materials (CAM) of Qatar University (QU) in 2018, this project is one of CAMâ  s commitments to develop water technologies related to the operation and management of seawater reverse osmosis (SWRO) desalination plant in order to create economic added value to Qatarâ  s desalination technology.

The final goals of this proposed project will be achieved by performing seven Work Packages (WPs): (1) Project management and steering, (2) Preparing analytical experiment procedures and project safety plan, (3) Develop/optimize concentrated solar power (CSP) system for heating RO brine and producing electricity, (4) Design/optimize direct-contact membrane distillation (DCMD) system to further concentrate RO brine, (5) Develop/optimize electrochemical lithium recovery (EliR) system, (6) Construct/optimize a CSP/DCMD/FT-EliR hybrid process for continuous lithium recovery from RO brine, (7) Develop knowledge and problem-solving capacities for researchers and students in Qatar.","Seawater desalination is one of the most important means of securing water in countries that lack water resources. Middle-East countries, including Qatar, have installed many thermo-based seawater desalination plants using power and hot steam generated from gas or oil-based power plants. In recent years, Qatar has produced about more than 36 million gallons of desalinated water daily through membrane-based seawater desalination using reverse osmosis (RO) technology. However, this seawater desalination method requires additional post-treatment for brine, which is about twice the salt concentration of seawater. On the other hand, the high salinity of brine can provide a good opportunity to recover rare elements such as lithium, uranium, or strontium in seawater. Thus, RO brine will be a pivotal opportunity to be recognized as a resource repository to recover various resources while being treated to protect the ecosystem.      

This project selects lithium ion among the resource recovery materials in the RO brine due to the rapid consumption and depletion of lithium worldwide. Currently, seawater evaporation in a pond is used as one of the conventional methods for recovering lithium, where the concentrated salts by evaporation are treated with a Lime-Soda precipitation method to recover lithium while removing other co-ions (Ca, Mg, etc.) selectively with carbonate precipitates. However, this method requires vast land, can cause environmental problems, and the extraction rate of lithium is very slow. Therefore, it is an urgent task to develop an innovative technology capable of rapidly concentrating brine, thereby recovering lithium with high selectivity and high purity to meet the demand for lithium supply.

This project proposes the state-of-the-art flow-through electrochemical Li recovery (FT-EliR) process, in which Li metal oxide compounds (LiMOCs) (LiAlO2 or Li2MnO3) and carbon-based hybrid capacitive materials will be used as the Li-capturing electrode and the counter ion-capturing counter electrode, respectively. Here, the FT-EliR system will use RO brine as a resource recovery solution to recover lithium. Direct contact membrane distillation (DCMD) will be employed to rapidly further concentrate the RO brine to provide a more concentrated lithium solution to the FT-EliR system. The application of DCMD technology to further concentrate the RO brine will provide a technology platform for the recovery of very low concentrations of precious elements in seawater. The DCMD system will consist of a hydrophobic membrane and a three dimensional (3D)-printing spacer with a significant flux and a low fouling tendency to concentrate the RO brine at salinity 3-5 times higher than seawater. Herein, RO brine must be heated up to near 80oC to provide the brine as feed water for the MD process. Heating RO brine will be accomplished by a concentrated solar power (CSP) system in which the condensed high-temperature solar energy will raise the temperature of RO brine used as cooling water and at the same time generates power through an internally installed thermoelectric (TE) module. The power generated in the CSP system will be used to operate the subsequent DCMD and electrochemical lithium recovery (EliR) systems. Eventually, the sequential CSP/DCMD/FT-EliR hybrid process will recover lithium continuously from RO brine much faster than conventional methods. 

This study aims to demonstrate the successful recovery of lithium from the actual RO brine by applying the proposed hybrid process to Qatarâ  s Umm Al Houl Power and Desalination Plant at the last Work Package (WP) of the project. Following the bilateral agreement between Qatar Electricity & Water Company (QEWC) and Center for Advanced Materials (CAM) of Qatar University (QU) in 2018, this project is one of CAMâ  s commitments to develop water technologies related to the operation and management of seawater reverse osmosis (SWRO) desalination plant in order to create economic added value to Qatarâ  s desalination technology.

The final goals of this proposed project will be achieved by performing seven Work Packages (WPs): (1) Project management and steering, (2) Preparing analytical experiment procedures and project safety plan, (3) Develop/optimize concentrated solar power (CSP) system for heating RO brine and producing electricity, (4) Design/optimize direct-contact membrane distillation (DCMD) system to further concentrate RO brine, (5) Develop/optimize electrochemical lithium recovery (EliR) system, (6) Construct/optimize a CSP/DCMD/FT-EliR hybrid process for continuous lithium recovery from RO brine, (7) Develop knowledge and problem-solving capacities for researchers and students in Qatar.",0,,,5/01/2020,2020,5/01/2023,2023,Zubair Ahmad; Dong Suk Han; Leena al-Sulaiti; Hokyong Shon; Yuan Chen; Enrico Drioli,University of Sydney,University of Sydney; University of Technology Sydney; Qatar University; Institute on Membrane Technology,grid.1013.3; grid.117476.2; grid.412603.2; grid.482823.7,Sydney; Sydney; Doha; Rende,New South Wales; New South Wales; ; ,Australia; Australia; Qatar; Italy,Qatar National Research Fund,,Qatar,,https://mis.qgrants.org/Public/AwardDetails.aspx?ParamPid=fhgjebebph,https://app.dimensions.ai/details/grant/grant.9304052,0904 Chemical Engineering; 09 Engineering,,,,,,B12 Engineering,
